variable,lambda,kappa
model,0.6431472879301264,0.20511883607967804
model,0.5105604230829711,0.19621944531813135
model,0.6093852774427637,0.2759110128294396
model,0.8792605143205857,0.35904576288732964
model,0.6156919493113594,0.30658334668930864
model,0.5635362454151995,0.1761047925124347
model,0.7473581597929301,0.3496960177777619
model,0.4624667688948279,0.22880239772406344
model,0.6922246604422356,0.2568167371166073
model,0.7337509674812397,0.317603964501811
model,0.9999338930386481,0.5387632751491592
model,0.5415401773946804,0.2573725736247803
model,0.5739073747414473,0.27089886047239814
model,0.841518670865899,0.4939816532625707
model,0.9441138759636771,0.6024223224298348
model,0.5658423453914347,0.24940338783450625
model,0.8745448157544564,0.40606227445758475
model,0.5860771277370712,0.29620632676923875
model,0.841701328762062,0.32975035856975415
model,0.7474469412535301,0.2959047857728796
model,0.7292441405254206,0.2862949110453465
model,0.3466900063284939,0.1350314290093176
model,0.5789168438540876,0.19852975164377093
model,0.9576658477597229,0.43895452744918334
model,0.8061044340330339,0.31759006173740456
model,0.8908738185534019,0.4673259430599801
model,0.5398981444813225,0.23510365367694233
model,0.8151543647318416,0.43876672367301184
model,0.2351206560772872,0.20631183874608955
model,0.7870155474392599,0.3942132907696078
model,0.6054877992761637,0.2747882812871051
model,0.8306487203910321,0.41967961974531537
model,0.689821087982881,0.3470587911679903
model,0.458442203698769,0.23835728936291692
model,0.5946089040515737,0.24514528765049196
model,0.40404151617345113,0.2226922673328579
model,0.6749505262796773,0.3452662125109763
model,0.7577756665645644,0.3200704421109576
model,0.7968160975415739,0.39928484980809914
model,0.4322359936677068,0.21739036393445008
model,0.6541998263480181,0.3044922143955631
model,0.7413485977412604,0.3254330761510468
model,0.8030897787814385,0.3372593056817411
model,0.6983690915088934,0.32636622530890524
model,0.9676039596880314,0.5590306025633567
model,0.8499901364404486,0.4663159111294491
model,0.6203548637377269,0.26584547341886444
model,0.6960623660617307,0.3309148839261136
model,0.6467900503764413,0.2947674946869018
model,0.8380665463859549,0.3633075733919785
model,0.6603057108844561,0.2495489961790813
model,0.6570455220383725,0.29874294307142607
model,0.639963774459946,0.2445227050667418
model,0.9924058313590073,0.4996673708904715
model,0.6456630269521045,0.3358827428913045
model,0.6945687353349261,0.2822421567816505
model,0.8354242819156494,0.5025308190979804
model,0.76126411981912,0.319847281279789
model,0.5391713645521057,0.20942067529337322
model,0.4759383931402391,0.23500867101044975
model,0.6883202215909229,0.3139366502114601
model,0.8972001483449262,0.469563926706307
model,0.799466546982795,0.404275133985089
model,0.7825575301485224,0.38623132422572987
model,0.6642627750509528,0.32799707112323967
model,0.7907221291157047,0.3822520277581395
model,0.7510925099654245,0.4007992436475828
model,0.43299869434244653,0.1863987531623293
model,0.8892609705587743,0.4737171767648374
model,0.7515487781749357,0.319669849290939
